Item,Reference(s),Value,Quantity,Description,PartNumber,Vendor
1,ARDUINO1,ARDUINO_MEGA,1,BOARD MCU MEGA2560,1050-1018-ND,digikey
2,C1 C2 C3,10uF,3,CAP CER 10UF 50V 10% X7S 1210,445-4536-1-ND,digikey
3,L1,LED_24V,1,LED 2MM 24V VERTICAL RED PC MNT,350-1723-ND,digikey
4,L2 L3 L4 L5 L6 L7 L8 L9,LED_5V_GRN,8,LED 2MM 5V VERTICAL GREEN PC MNT,350-1726-ND,digikey
5,P1,PWR_JACK_2.5x5.5,1,CONN PWR JACK DC 2.5X5.5 8A T/H,CP-063BH-ND,digikey
6,P2 P3 P4 P5,HEADER_01X03_SMD_RA,4,CONN HEADER 3POS R/A SMD GOLD,A100890CT-ND,digikey
7,P6,HEADER_01X02_SMD_RA,1,CONN HEADER 2POS R/A SMD GOLD,A100903CT-ND,digikey
8,P7,BNC_DOUBLE_RA,1,CONN BNC JACK R/A 75 OHM PCB,ACX1655-ND,digikey
9,R1 R2 R3 R4 R5 R6 R7 R8,487,8,RES SMD 487 OHM 1% 1/2W 1210,P487AACT-ND,digikey
10,REG1,CONV_DC_DC_12V_1A,1,CONV DC/DC 1A 12V OUT SIP VERT,945-1392-5-ND,digikey
11,SW1,SPST_SLIDE_AS,1,SWITCH SLIDE SPST 0.4VA 28V,360-2610-ND,digikey
12,T1 T2 T3 T4 T5 T6 T7 T8,TERM_BLK_ANG_2_PIN,8,TERMINAL BLOCK PCB 2POS 5.08MM,277-5716-ND,digikey
13,U1 U2 U3 U4 U5 U6 U7 U8,SSR_DC_6PIN,8,RELAY SSR SPST SGL 2.5A 6SMD GW,516-2367-5-ND,digikey
